nombre,cantidad,anio
Carlos Antonio,9,1925
Silvana,9,1925
Cecilio,9,1925
Dora Beatriz,9,1925
Rene,9,1925
Celina Esther,9,1925
Justina,9,1925
Nelida Antonia,9,1925
Hector Luis,9,1925
Dionisio,9,1925
Maria De Las Mercedes,9,1925
Conrado,9,1925
Sara Elba,9,1925
Olga Elsa,9,1925
Maria Aurora,9,1925
Maria Eva,9,1925
Alicia Nelly,9,1925
Nelida Teresa,9,1925
Eleuteria,9,1925
Ruben Dario,9,1925
Veronica,9,1925
Celestino,9,1925
Angel Antonio,9,1925
Pura,9,1925
Anselma,9,1925
Elia,9,1925
Herminio,9,1925
Leoncio,9,1925
Antonio José,9,1925
Maria Encarnacion,9,1925
Dionisia,9,1925
Gloria,9,1925
Albino,9,1925
Hortensia,9,1925
Lidia Haydee,9,1925
Elisabeth,9,1925
Prospero,9,1925
Ana Luisa,9,1925
Epifania,9,1925
Ursula,9,1925
Anastasia,9,1925
Maria Etelvina,9,1925
Sara Elena,9,1925
Miguelina,9,1925
Nélida Luisa,9,1925
Elsa Rosa,9,1925
Blanca Haydee,9,1925
Maria Ignacia,9,1925
Nelly Dora,9,1925
Paulino,9,1925
Delfin,9,1925
Eustaquio,9,1925
Mariano,9,1925
Sixta,9,1925
Bernardino,9,1925
Olga Susana,9,1925
Mateo,9,1925
Maria Berta,9,1925
Angelita,9,1925
Simona,9,1925
Mario Enrique,9,1925
Maria Dora,9,1925
Herminda,9,1925
Maria Virginia,8,1925
Ruperto,8,1925
Damiana,8,1925
Dionicia,8,1925
Carlos Maria,8,1925
Luisa Esther,8,1925
José Alejandro,8,1925
Leonilda,8,1925
María Hortencia,8,1925
Maria Herminia,8,1925
Demetrio,8,1925
Delia Enriqueta,8,1925
Anna,8,1925
Marta Susana,8,1925
Iris,8,1925
Juana Bautista,8,1925
Transito,8,1925
Elvira Maria,8,1925
Narcisa,8,1925
Virgilio,8,1925
Lino,8,1925
Ana Elena,8,1925
Irma Nelly,8,1925
Fidel,8,1925
Juan Santos,8,1925
Maria Sara,8,1925
Hector Alfredo,8,1925
Ana Delia,8,1925
Pedro Celestino,8,1925
Maria Pilar,8,1925
Juan Angel,8,1925
Robustiana,8,1925
Zulema Esther,8,1925
Julio Alberto,8,1925
Carmen Maria,8,1925
Jose Enrique,8,1925
Carlos Pedro,8,1925
Dora Margarita,8,1925
Pascualina,8,1925
Mercedes Maria,8,1925
Luisa Maria,8,1925
Eduardo Alberto,8,1925
Fermin,8,1925
Nicasia,8,1925
Edmundo,8,1925
Hermenegilda,8,1925
Gracia,8,1925
Delia Alicia,8,1925
Juana Teresa,8,1925
Benita,8,1925
Roberto Enrique,8,1925
Adriana,8,1925
Silvio,8,1925
Ciriaco,8,1925
Amparo,8,1925
Maria Ilda,8,1925
Jose Domingo,8,1925
Evangelina,8,1925
Clara Esther,8,1925
Angela Rosa,8,1925
Carlos Francisco,8,1925
Gilda,8,1925
Celia Maria,8,1925
Luciana,8,1925
Vartuhi,8,1925
Nelly Maria,8,1925
Lucio,8,1925
Elcira,8,1925
Jose Miguel,8,1925
Delicia,8,1925
Lidia Ines,8,1925
Cipriana,8,1925
Haidee,8,1925
Rosa Ana,8,1925
Maria Felisa,8,1925
Estefania,8,1925
Azucena,8,1925
Maria Manuela,8,1925
Cayetano,8,1925
Angelica Antonia,8,1925
Juan Agustin,8,1925
Aidee,8,1925
Elsa Dora,8,1925
Honoria,8,1925
Oscar Antonio,8,1925
Clemencia,8,1925
Eufemia,8,1925
Maria Emma,8,1925
Mónica,8,1925
Ismael,8,1925
Dora Elsa,8,1925
Benigna,8,1925
Ercilia,7,1925
Julio Norberto,7,1925
Alfredo Hector,7,1925
Nicanor,7,1925
Juana Josefa,7,1925
Casimiro,7,1925
Rosa Irma,7,1925
Rosa Elena,7,1925
Hilaria,7,1925
Raul Oscar,7,1925
Gabina,7,1925
Eliseo,7,1925
Antonio Romulo,7,1925
Dora Angelica,7,1925
Marta Beatriz,7,1925
Carlos Enrique,7,1925
Carlos Oscar,7,1925
Cirilo,7,1925
Ramon Jose,7,1925
Delmira,7,1925
Hector Oscar,7,1925
Pablo Antonio,7,1925
Emilio Jose,7,1925
Ana Esther,7,1925
Linda,7,1925
Floro,7,1925
Maria Silvia,7,1925
Hector Mario,7,1925
Enrique Alberto,7,1925
Ana Antonia,7,1925
Alejandrina,7,1925
Nelida Margarita,7,1925
Jorge Manuel,7,1925
Omar,7,1925
Maria Celestina,7,1925
Maria Elva,7,1925
Gumersinda,7,1925
Sara Maria,7,1925
Raimundo,7,1925
Juan Mario,7,1925
Francisca Del Rosario,7,1925
Dalinda,7,1925
Luis Jose,7,1925
María del Pilar,7,1925
Olga Rosa,7,1925
Bernardina,7,1925
Ramon Angel,7,1925
Julia Esther,7,1925
Cipriano,7,1925
Rosa Lidia,7,1925
Juana Antonia,7,1925
Margarita María,7,1925
Oscar Roberto,7,1925
Guadalupe,7,1925
Blanca Estela,7,1925
Lila,7,1925
Toribio,7,1925
Alfredo Oscar,7,1925
Nelida Ana,7,1925
Rosa Argentina,7,1925
Irma Maria,7,1925
Juan Ramon,7,1925
Clara Sara,7,1925
Olga Herminia,7,1925
Alicia Gloria,7,1925
Hipolita,7,1925
Rodolfo Jose,7,1925
Catalina Maria,7,1925
Olimpia,7,1925
Primitiva,7,1925
Saul,7,1925
Bienvenida,7,1925
Maria Susana,7,1925
Elena Carmen,7,1925
Victor Hugo,7,1925
Nicasio,7,1925
Angel Jose,7,1925
Blanca Dora,7,1925
Lea,7,1925
Silveria,7,1925
Maria Nicolasa,7,1925
Moizes,7,1925
Antonio Alfredo,7,1925
Nelida Haydeé,7,1925
Maria Clementina,7,1925
Rosa Elvira,7,1925
Malvina,7,1925
Maria Filomena,7,1925
Angelica Esther,7,1925
Octavio,7,1925
Rufino,7,1925
Rosa Josefa,7,1925
Maria Hilda,7,1925
Carlos Alfredo,7,1925
Eduarda,7,1925
Mario Antonio,7,1925
Maria De Jesus,7,1925
Irma Leonor,7,1925
Teresa Rosa,7,1925
Jorge Enrique,7,1925
Francisco Solano,7,1925
Blanca Delia,7,1925
Juan Oscar,7,1925
Salustiano,7,1925
Gertrudis,7,1925
Blanca Azucena,7,1925
Maria Asuncion,7,1925
Pedro Damian,7,1925
Romulo,7,1925
Lucrecia,7,1925
Rosa Isabel,7,1925
Perla,7,1925
Maria Carmela,7,1925
Hector Manuel,7,1925
Asunta,7,1925
Romelia,7,1925
Roberto Jose,6,1925
Ambrosia,6,1925
Lidia Elsa,6,1925
Yolanda Maria,6,1925
Elsa Ana,6,1925
Alba Rosa,6,1925
Elsa Haydee,6,1925
Elsa Catalina,6,1925
Dante Jose,6,1925
Alicia Amanda,6,1925
Juana Irma,6,1925
Celsa,6,1925
Andelko,6,1925
Julia Dolores,6,1925
Vito,6,1925
Jose Felipe,6,1925
Maria Antonieta,6,1925
Sara Beatriz,6,1925
Rosa Luisa,6,1925
Osvaldo Francisco,6,1925
Blanca Nieves,6,1925
Froilana,6,1925
Guido,6,1925
Elsa René,6,1925
Manuel De Jesus,6,1925
Petrona Maria Cora,6,1925
Juana Margarita,6,1925
Domingo Carlos,6,1925
Osvaldo Jose,6,1925
Emilia Antonia,6,1925
Alberto Emilio,6,1925
Elsa Carmen,6,1925
Alfredo Eduardo,6,1925
Rosina,6,1925
Emilia Ofelia,6,1925
Hermelinda,6,1925
Elsa Renee,6,1925
